"","site","date","openice","allice","openwater","allwater"
"1","beaufo",1999-07-28,0.641102941176471,0.933691176470588,0.0659558823529412,0.358897058823529
"2","beaufo",1999-08-06,0.22704,0.22704,0.77296,0.77296
"3","beaufo",1999-08-10,0.613782991202346,0.930234604105572,0.0698240469208211,0.386217008797654
"4","beaufo",1999-08-22,0.0578,0.0578,0.9422,0.9422
"5","beaufo",1999-09-14,0.555,0.555,0.445,0.445
"6","beaufo",2000-06-21,0.4704,0.4704,0.5296,0.5296
"7","beaufo",2000-07-03,0.706428571428571,0.706428571428571,0.293571428571429,0.293571428571429
"8","beaufo",2000-07-14,0.7392,0.9731,0.0268,0.2608
"9","beaufo",2000-07-21,0.616171003717472,0.956654275092937,0.0433085501858736,0.383828996282528
"10","beaufo",2000-08-15,0.251805555555556,0.251805555555556,0.748194444444444,0.748194444444444
"11","beaufo",2000-08-25,0.233125,0.328839285714286,0.69237012987013,0.766875
"12","beaufo",2000-08-31,0.120827702702703,0.212483108108108,0.787111486486486,0.879155405405405
"13","beaufo",2000-09-02,0.119510869565217,0.190036231884058,0.80981884057971,0.880489130434783
"14","beaufo",2001-06-13,0.785523156089194,0.785523156089194,0.214493996569468,0.214493996569468
"15","beaufo",2001-06-28,0.704426229508197,0.960901639344262,0.0390573770491803,0.295573770491803
"16","beaufo",2001-07-04,0.713396739130435,0.90804347826087,0.0916847826086957,0.286603260869565
"17","beaufo",2001-07-11,0.674132492113565,0.674132492113565,0.325867507886435,0.325867507886435
"18","beaufo",2001-07-16,0.78864553314121,0.966397694524496,0.0341210374639769,0.21135446685879
"19","beaufo",2001-07-31,0.653333333333333,0.653333333333333,0.346666666666667,0.346666666666667
"20","beaufo",2001-08-09,0.6675,0.6675,0.3325,0.3325
"21","beaufo",2001-08-24,0.418164251207729,0.418164251207729,0.581690821256039,0.581690821256039
"22","beaufo",2001-08-29,0.365551724137931,0.365551724137931,0.634448275862069,0.634448275862069
"23","beaufo",2001-09-03,0.291945288753799,0.427963525835866,0.572279635258359,0.708054711246201
"24","cacana",1999-08-16,0.76981308411215,0.977383177570093,0.0222429906542056,0.23018691588785
"25","cacana",1999-08-19,0.809424460431655,0.989424460431655,0.00992805755395683,0.190575539568345
"26","cacana",1999-08-20,0.723693181818182,0.941448863636364,0.0585795454545455,0.276306818181818
"27","cacana",1999-08-21,0.888333333333333,0.888333333333333,0.111666666666667,0.111666666666667
"28","cacana",1999-08-26,0.762509090909091,0.976181818181818,0.0230545454545455,0.237490909090909
"29","cacana",2000-06-22,0.852694610778443,0.987574850299401,0.0121556886227545,0.147305389221557
"30","cacana",2000-06-25,0.828181818181818,0.998656126482213,0.00130434782608696,0.171818181818182
"31","cacana",2000-06-28,0.700340050377834,0.968853904282116,0.0307808564231738,0.299659949622166
"32","cacana",2000-06-29,0.645742574257426,0.98960396039604,0.0101980198019802,0.354257425742574
"33","cacana",2000-07-05,0.78131498470948,0.965504587155963,0.0341284403669725,0.21868501529052
"34","cacana",2000-07-10,0.730102040816327,0.9,0.100102040816327,0.269897959183673
"35","cacana",2000-07-27,0.759660377358491,0.96411320754717,0.0359245283018868,0.240339622641509
"36","cacana",2000-08-15,0.738044164037855,0.904952681388013,0.0947003154574133,0.261955835962145
"37","cacana",2001-06-30,0.951818181818182,0.951818181818182,0.0481818181818182,0.0481818181818182
"38","cacana",2001-07-03,0.946538461538462,0.991923076923077,0.00846153846153846,0.0534615384615385
"39","cacana",2001-07-08,0.91358024691358,0.988518518518518,0.0111728395061728,0.0864197530864197
"40","cacana",2001-08-02,0.79957671957672,0.904497354497355,0.0956084656084656,0.20042328042328
"41","cacana",2001-08-10,0.838313953488372,0.966511627906977,0.0331686046511628,0.161686046511628
"42","cacana",2001-08-11,0.958,0.978,0.024,0.042
"43","cacana",2001-08-22,0.9565,0.9565,0.0435,0.0435
"44","cacana",2001-09-09,0.887662337662338,0.887662337662338,0.112337662337662,0.112337662337662
"45","cafram",1999-07-01,0.869375,0.869375,0.130625,0.130625
"46","cafram",1999-08-11,0.775692307692308,0.966461538461538,0.0334615384615385,0.224307692307692
"47","cafram",1999-08-23,0.815071047957371,0.974120781527531,0.0261190053285968,0.1849378330373
"48","cafram",2000-05-09,0.961818181818182,0.961818181818182,0.0381818181818182,0.0381818181818182
"49","cafram",2000-05-16,0.951786833855799,0.951786833855799,0.0482131661442006,0.0482131661442006
"50","cafram",2000-06-06,0.946925373134328,0.946925373134328,0.0530746268656716,0.0530746268656716
"51","cafram",2000-06-14,0.9225,0.9225,0.0775,0.0775
"52","cafram",2000-06-21,0.916923076923077,0.916923076923077,0.0830769230769231,0.0830769230769231
"53","cafram",2000-06-27,0.791583333333333,0.979305555555556,0.0204166666666667,0.208416666666667
"54","cafram",2000-08-07,0.95,0.95,0.05,0.05
"55","cafram",2000-08-08,0.765812672176309,0.836749311294766,0.163168044077135,0.234187327823691
"56","cafram",2000-08-22,0.698571428571429,0.698571428571429,0.301428571428571,0.301428571428571
"57","cafram",2001-06-06,0.916545454545455,0.916545454545455,0.0834545454545454,0.0834545454545454
"58","cafram",2001-06-11,0.853076923076923,0.853076923076923,0.146923076923077,0.146923076923077
"59","cafram",2001-06-17,0.897114754098361,0.897114754098361,0.102885245901639,0.102885245901639
"60","cafram",2001-06-24,0.876120996441281,0.916654804270463,0.0829537366548043,0.123879003558719
"61","cafram",2001-06-30,0.809609375,0.8754296875,0.1244921875,0.190390625
"62","cafram",2001-07-13,0.750625,0.989375,0.01125,0.249375
"63","cafram",2001-07-20,0.616277056277056,0.818809523809524,0.181298701298701,0.383722943722944
"64","cafram",2001-07-27,0.715673469387755,0.927469387755102,0.0724489795918367,0.284326530612245
"65","cafram",2001-08-04,0.753453237410072,0.809856115107914,0.190287769784173,0.246546762589928
"66","cafram",2001-08-05,0.79643216080402,0.79643216080402,0.20356783919598,0.20356783919598
"67","cafram",2001-08-07,0.836079734219269,0.893355481727575,0.106445182724252,0.163953488372093
"68","cafram",2001-08-10,0.8371,0.8371,0.1629,0.1629
"69","cafram",2001-08-20,0.850432432432432,0.850432432432432,0.149567567567568,0.149567567567568
"70","cafram",2001-09-02,0.745357142857143,0.745357142857143,0.254642857142857,0.254642857142857
"71","esiber",2000-06-19,0.864875776397516,0.864875776397516,0.135124223602484,0.135124223602484
"72","esiber",2000-06-28,0.899225,0.899225,0,0
"73","esiber",2000-07-04,0.718145695364238,0.877615894039735,0.122251655629139,0.281854304635762
"74","esiber",2000-07-06,0.619130434782609,0.619130434782609,0.380869565217391,0.380869565217391
"75","esiber",2000-07-13,0.531904761904762,0.699206349206349,0.301111111111111,0.468095238095238
"76","esiber",2000-07-28,0.663571428571429,0.775864661654135,0.223947368421053,0.336428571428571
"77","esiber",2000-08-27,0.779653846153846,0.910192307692308,0.0895769230769231,0.220346153846154
"78","esiber",2001-05-17,0.996422764227642,0.996422764227642,0.00357723577235772,0.00357723577235772
"79","esiber",2001-06-20,0.8715625,0.8715625,0.1284375,0.1284375
"80","esiber",2001-07-01,0.782427983539095,0.813744855967078,0.186008230452675,0.217572016460905
"81","esiber",2001-07-07,0.754550408719346,0.917057220708447,0.0829972752043597,0.245449591280654
"82","esiber",2001-07-24,0.796756756756757,0.980810810810811,0.0191891891891892,0.203243243243243
"83","esiber",2001-07-31,0.74,0.74,0.26,0.26
"84","esiber",2001-08-15,0.681866197183099,0.775246478873239,0.224964788732394,0.318133802816901
